Region/Country/Area,,Year,Series,Value,Footnotes,Source
14,Eastern Africa,2018,GDP in current prices (millions of US dollars),384242,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2019,GDP in current prices (millions of US dollars),407967,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,1995,GDP per capita (US dollars),318,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2005,GDP per capita (US dollars),393,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2010,GDP per capita (US dollars),643,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2015,GDP per capita (US dollars),806,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2017,GDP per capita (US dollars),869,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2018,GDP per capita (US dollars),912,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2019,GDP per capita (US dollars),943,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,1995,GDP in constant 2010 prices (millions of US dollars),106353,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2005,GDP in constant 2010 prices (millions of US dollars),159151,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2010,GDP in constant 2010 prices (millions of US dollars),230865,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2015,GDP in constant 2010 prices (millions of US dollars),313147,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2017,GDP in constant 2010 prices (millions of US dollars),347164,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2018,GDP in constant 2010 prices (millions of US dollars),368029,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2019,GDP in constant 2010 prices (millions of US dollars),386614,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,1995,GDP real rates of growth (percent),4.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2005,GDP real rates of growth (percent),6.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2010,GDP real rates of growth (percent),8.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2015,GDP real rates of growth (percent),5.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2017,GDP real rates of growth (percent),5.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2018,GDP real rates of growth (percent),6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
14,Eastern Africa,2019,GDP real rates of growth (percent),5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,1995,GDP in current prices (millions of US dollars),36081,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,2005,GDP in current prices (millions of US dollars),99548,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,2010,GDP in current prices (millions of US dollars),189153,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,2015,GDP in current prices (millions of US dollars),238018,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,2017,GDP in current prices (millions of US dollars),245763,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,2018,GDP in current prices (millions of US dollars),244834,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,2019,GDP in current prices (millions of US dollars),225405,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,1995,GDP per capita (US dollars),431,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,2005,GDP per capita (US dollars),889,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,2010,GDP per capita (US dollars),1437,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,2015,GDP per capita (US dollars),1544,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,2017,GDP per capita (US dollars),1498,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,2018,GDP per capita (US dollars),1448,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,2019,GDP per capita (US dollars),1293,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,1995,GDP in constant 2010 prices (millions of US dollars),84257,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,2005,GDP in constant 2010 prices (millions of US dollars),138996,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,2010,GDP in constant 2010 prices (millions of US dollars),190087,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,2015,GDP in constant 2010 prices (millions of US dollars),238018,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
17,Middle Africa,2017,GDP in constant 2010 prices (millions of US dollars),236230,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
