Region/Country/Area,,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source,,
202,Sub-Saharan Africa,2015,Imports CIF (millions of US dollars),,,341970,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
202,Sub-Saharan Africa,2018,Imports CIF (millions of US dollars),,,348431,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
202,Sub-Saharan Africa,2019,Imports CIF (millions of US dollars),,,354783,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
202,Sub-Saharan Africa,2020,Imports CIF (millions of US dollars),,,398494,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
202,Sub-Saharan Africa,1995,Exports FOB (millions of US dollars),,,70417,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
202,Sub-Saharan Africa,2005,Exports FOB (millions of US dollars),,,192552,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
202,Sub-Saharan Africa,2010,Exports FOB (millions of US dollars),,,331050,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
202,Sub-Saharan Africa,2015,Exports FOB (millions of US dollars),,,294142,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
202,Sub-Saharan Africa,2018,Exports FOB (millions of US dollars),,,356092,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
202,Sub-Saharan Africa,2019,Exports FOB (millions of US dollars),,,333416,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
202,Sub-Saharan Africa,2020,Exports FOB (millions of US dollars),,,397632,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
202,Sub-Saharan Africa,1995,Balance imports/exports (millions of US dollars),,,1127,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
202,Sub-Saharan Africa,2005,Balance imports/exports (millions of US dollars),,,33895,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
202,Sub-Saharan Africa,2010,Balance imports/exports (millions of US dollars),,,43762,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
202,Sub-Saharan Africa,2015,Balance imports/exports (millions of US dollars),,,-47827,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
202,Sub-Saharan Africa,2018,Balance imports/exports (millions of US dollars),,,7662,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
202,Sub-Saharan Africa,2019,Balance imports/exports (millions of US dollars),,,-21367,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
