Region/Country/Area,,Year,Series,Value,Footnotes,Source,,,
20,Andorra,2019,Consumer price index: General,105.8,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
20,Andorra,2020,Consumer price index: General,106.2,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
20,Andorra,2005,Consumer price index: Food,92,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
20,Andorra,2010,Consumer price index: Food,100,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
20,Andorra,2015,Consumer price index: Food,108.2,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
20,Andorra,2018,Consumer price index: Food,114.5,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
20,Andorra,2019,Consumer price index: Food,115.8,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
20,Andorra,2020,Consumer price index: Food,118.7,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
24,Angola,2000,Consumer price index: General,2.9,Estimate.,Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,
24,Angola,2005,Consumer price index: General,53.7,Estimate.,Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,
24,Angola,2010,Consumer price index: General,100,Estimate.,Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,
24,Angola,2015,Consumer price index: General,159.4,Estimate.,Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,
24,Angola,2018,Consumer price index: General,323.6,Estimate.,Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,
24,Angola,2019,Consumer price index: General,378.9,Estimate.,Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,
24,Angola,2005,Consumer price index: Food,45.5,Estimate.,Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,
24,Angola,2010,Consumer price index: Food,100,Estimate.,Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,
24,Angola,2015,Consumer price index: Food,167.3,Estimate.,Luanda,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,
660,Anguilla,2000,Consumer price index: General,68.4,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
660,Anguilla,2005,Consumer price index: General,81,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
660,Anguilla,2010,Consumer price index: General,100,Break in the time series.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
660,Anguilla,2015,Consumer price index: General,105.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
660,Anguilla,2018,Consumer price index: General,106.3,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
660,Anguilla,2019,Consumer price index: General,107.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
660,Anguilla,2010,Consumer price index: Food,100,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
660,Anguilla,2015,Consumer price index: Food,111.4,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
660,Anguilla,2018,Consumer price index: Food,113.4,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
660,Anguilla,2019,Consumer price index: Food,116,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
28,Antigua and Barbuda,2000,Consumer price index: General,81.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
28,Antigua and Barbuda,2005,Consumer price index: General,89.5,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
28,Antigua and Barbuda,2010,Consumer price index: General,100,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
28,Antigua and Barbuda,2015,Consumer price index: General,110.3,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
28,Antigua and Barbuda,2018,Consumer price index: General,113.8,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
28,Antigua and Barbuda,2019,Consumer price index: General,115.4,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
32,Argentina,2018,Consumer price index: General,151.6,Index base: December 2016=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
32,Argentina,2019,Consumer price index: General,232.8,Index base: December 2016=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
32,Argentina,2020,Consumer price index: General,330.5,Index base: December 2016=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
32,Argentina,2018,Consumer price index: Food,148.2,Index base: December 2016=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
32,Argentina,2019,Consumer price index: Food,234.8,Index base: December 2016=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
32,Argentina,2020,Consumer price index: Food,345,Index base: December 2016=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
51,Armenia,2000,Consumer price index: General,65,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
51,Armenia,2005,Consumer price index: General,76.4,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
51,Armenia,2010,Consumer price index: General,100,Estimate.,Break in the time series.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,
51,Armenia,2015,Consumer price index: General,124.8,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
51,Armenia,2018,Consumer price index: General,127.3,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
51,Armenia,2019,Consumer price index: General,129.2,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
51,Armenia,2020,Consumer price index: General,130.7,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
51,Armenia,2010,Consumer price index: Food,100,Estimate.,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,
51,Armenia,2015,Consumer price index: Food,127.1,Estimate.,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,
533,Aruba,2000,Consumer price index: General,72,Break in the time series.,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,
533,Aruba,2005,Consumer price index: General,84.1,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
533,Aruba,2010,Consumer price index: General,100,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
533,Aruba,2015,Consumer price index: General,103.4,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
533,Aruba,2018,Consumer price index: General,105.1,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
533,Aruba,2019,Consumer price index: General,109.2,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
533,Aruba,2020,Consumer price index: General,107.8,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
533,Aruba,2005,Consumer price index: Food,73.6,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
533,Aruba,2010,Consumer price index: Food,100,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
533,Aruba,2015,Consumer price index: Food,85.4,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
533,Aruba,2018,Consumer price index: Food,122.6,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
533,Aruba,2019,Consumer price index: Food,135.5,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
533,Aruba,2020,Consumer price index: Food,134.8,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
36,Australia,2000,Consumer price index: General,74.4,Calculated by the UN Statistics Division from national indices.,Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,
36,Australia,2005,Consumer price index: General,86.3,Calculated by the UN Statistics Division from national indices.,Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,
36,Australia,2010,Consumer price index: General,100,Break in the time series.,Calculated by the UN Statistics Division from national indices.,Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",
36,Australia,2015,Consumer price index: General,112,Calculated by the UN Statistics Division from national indices.,Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,
36,Australia,2018,Consumer price index: General,117.9,Calculated by the UN Statistics Division from national indices.,Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,
36,Australia,2019,Consumer price index: General,119.8,Calculated by the UN Statistics Division from national indices.,Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,
36,Australia,2020,Consumer price index: General,120.8,Calculated by the UN Statistics Division from national indices.,Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,
36,Australia,2010,Consumer price index: Food,100,Calculated by the UN Statistics Division from national indices.,Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,
36,Australia,2015,Consumer price index: Food,107.6,Calculated by the UN Statistics Division from national indices.,Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,
36,Australia,2018,Consumer price index: Food,110.3,Calculated by the UN Statistics Division from national indices.,Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,
36,Australia,2019,Consumer price index: Food,112.9,Calculated by the UN Statistics Division from national indices.,Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,
36,Australia,2020,Consumer price index: Food,116.6,Calculated by the UN Statistics Division from national indices.,Weighted average of index values computed for the 8 capital cities.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,
40,Austria,2000,Consumer price index: General,82.6,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
40,Austria,2005,Consumer price index: General,91.4,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
40,Austria,2010,Consumer price index: General,100,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
40,Austria,2015,Consumer price index: General,110.7,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
40,Austria,2018,Consumer price index: General,116.3,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
40,Austria,2019,Consumer price index: General,118.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
40,Austria,2020,Consumer price index: General,119.8,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
40,Austria,2000,Consumer price index: Food,79.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
40,Austria,2005,Consumer price index: Food,88.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
40,Austria,2010,Consumer price index: Food,100,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
40,Austria,2015,Consumer price index: Food,114.4,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
40,Austria,2018,Consumer price index: Food,119.7,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
40,Austria,2019,Consumer price index: Food,121,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
40,Austria,2020,Consumer price index: Food,123.8,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
31,Azerbaijan,2000,Consumer price index: General,49,Break in the time series.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
31,Azerbaijan,2005,Consumer price index: General,61.1,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
31,Azerbaijan,2010,Consumer price index: General,100,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
31,Azerbaijan,2015,Consumer price index: General,117.7,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
31,Azerbaijan,2018,Consumer price index: General,152.9,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
31,Azerbaijan,2019,Consumer price index: General,156.9,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
31,Azerbaijan,2020,Consumer price index: General,161.2,,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
31,Azerbaijan,2010,Consumer price index: Food,100,Including tobacco.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
31,Azerbaijan,2015,Consumer price index: Food,119.6,Including tobacco.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
31,Azerbaijan,2018,Consumer price index: Food,163,Including tobacco.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
31,Azerbaijan,2019,Consumer price index: Food,166.7,Including tobacco.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
31,Azerbaijan,2020,Consumer price index: Food,174.1,Including tobacco.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
44,Bahamas,2000,Consumer price index: General,80,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
44,Bahamas,2005,Consumer price index: General,88.2,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
44,Bahamas,2010,Consumer price index: General,100,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
44,Bahamas,2015,Consumer price index: General,109.6,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
44,Bahamas,2018,Consumer price index: General,113.4,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
44,Bahamas,2019,Consumer price index: General,116.2,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
44,Bahamas,2020,Consumer price index: General,116.3,Estimate.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
44,Bahamas,2015,Consumer price index: Food,106.5,New Providence,Index base: November 2014=100.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,
48,Bahrain,2000,Consumer price index: General,83.4,Calculated by the UN Statistics Division from national indices.,"United Nations Statistics Division (UNSD), New York, Monthly Bulletin of Statistics (MBS), last accessed June 2020.",,,
