Region/Country/Area,,Year,Series,Tourism arrivals series type,Tourism arrivals series type footnote,Value,Footnotes,Source,,
450,Madagascar,2018,Tourist/visitor arrivals (thousands),TF,,291,Arrivals of non-resident tourists by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
450,Madagascar,2019,Tourist/visitor arrivals (thousands),TF,,384,Arrivals of non-resident tourists by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
450,Madagascar,1995,Tourism expenditure (millions of US dollars),,,106,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
450,Madagascar,2005,Tourism expenditure (millions of US dollars),,,275,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
450,Madagascar,2010,Tourism expenditure (millions of US dollars),,,425,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
450,Madagascar,2017,Tourism expenditure (millions of US dollars),,,849,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
450,Madagascar,2018,Tourism expenditure (millions of US dollars),,,879,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
454,Malawi,1995,Tourist/visitor arrivals (thousands),TF,,192,Departures.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
454,Malawi,2005,Tourist/visitor arrivals (thousands),TF,,438,Departures.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
454,Malawi,2010,Tourist/visitor arrivals (thousands),TF,,746,Departures.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
454,Malawi,2017,Tourist/visitor arrivals (thousands),TF,,837,Departures.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
454,Malawi,2018,Tourist/visitor arrivals (thousands),TF,,871,Estimate.,Departures.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",
454,Malawi,1995,Tourism expenditure (millions of US dollars),,,22,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
454,Malawi,2005,Tourism expenditure (millions of US dollars),,,48,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
454,Malawi,2010,Tourism expenditure (millions of US dollars),,,45,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
454,Malawi,2017,Tourism expenditure (millions of US dollars),,,35,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
454,Malawi,2018,Tourism expenditure (millions of US dollars),,,43,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
454,Malawi,2019,Tourism expenditure (millions of US dollars),,,47,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
458,Malaysia,1995,Tourist/visitor arrivals (thousands),TF,,7469,Including Singapore residents crossing the frontier by road through Johore Causeway.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
458,Malaysia,2005,Tourist/visitor arrivals (thousands),TF,,16431,Including Singapore residents crossing the frontier by road through Johore Causeway.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
458,Malaysia,2010,Tourist/visitor arrivals (thousands),TF,,24577,Including Singapore residents crossing the frontier by road through Johore Causeway.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
458,Malaysia,2017,Tourist/visitor arrivals (thousands),TF,,25948,Including Singapore residents crossing the frontier by road through Johore Causeway.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
458,Malaysia,2018,Tourist/visitor arrivals (thousands),TF,,25832,Including Singapore residents crossing the frontier by road through Johore Causeway.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
458,Malaysia,2019,Tourist/visitor arrivals (thousands),TF,,26101,Including Singapore residents crossing the frontier by road through Johore Causeway.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
458,Malaysia,1995,Tourism expenditure (millions of US dollars),,,5044,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
458,Malaysia,2005,Tourism expenditure (millions of US dollars),,,10389,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
458,Malaysia,2010,Tourism expenditure (millions of US dollars),,,19619,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
458,Malaysia,2017,Tourism expenditure (millions of US dollars),,,20311,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
458,Malaysia,2018,Tourism expenditure (millions of US dollars),,,21774,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
462,Maldives,1995,Tourist/visitor arrivals (thousands),TF,,315,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
462,Maldives,2005,Tourist/visitor arrivals (thousands),TF,,395,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
462,Maldives,2010,Tourist/visitor arrivals (thousands),TF,,792,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
462,Maldives,2017,Tourist/visitor arrivals (thousands),TF,,1390,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
462,Maldives,2018,Tourist/visitor arrivals (thousands),TF,,1484,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
462,Maldives,2019,Tourist/visitor arrivals (thousands),TF,,1703,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
462,Maldives,2017,Tourism expenditure (millions of US dollars),,,2771,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
462,Maldives,2018,Tourism expenditure (millions of US dollars),,,3054,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
462,Maldives,2019,Tourism expenditure (millions of US dollars),,,3171,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
466,Mali,1995,Tourist/visitor arrivals (thousands),TF,,42,Arrivals by air only (Bamako-S�nou airport).,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
466,Mali,2005,Tourist/visitor arrivals (thousands),TF,,143,Arrivals by air only (Bamako-S�nou airport).,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
466,Mali,2010,Tourist/visitor arrivals (thousands),TF,,169,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
466,Mali,2017,Tourist/visitor arrivals (thousands),TF,,193,Arrivals by air only (Bamako-S�nou airport).,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
466,Mali,2018,Tourist/visitor arrivals (thousands),TF,,203,Arrivals by air only (Bamako-S�nou airport).,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
466,Mali,1995,Tourism expenditure (millions of US dollars),,,26,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
466,Mali,2005,Tourism expenditure (millions of US dollars),,,149,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
466,Mali,2010,Tourism expenditure (millions of US dollars),,,208,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
466,Mali,2017,Tourism expenditure (millions of US dollars),,,206,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
466,Mali,2018,Tourism expenditure (millions of US dollars),,,231,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
470,Malta,1995,Tourist/visitor arrivals (thousands),TF,,1116,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
470,Malta,2005,Tourist/visitor arrivals (thousands),TF,,1171,Departures by air and by sea.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
470,Malta,2010,Tourist/visitor arrivals (thousands),TF,,1339,Departures by air and by sea.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
470,Malta,2017,Tourist/visitor arrivals (thousands),TF,,2274,Departures by air and by sea.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
470,Malta,2018,Tourist/visitor arrivals (thousands),TF,,2599,Departures by air and by sea.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
470,Malta,2019,Tourist/visitor arrivals (thousands),TF,,2753,Departures by air and by sea.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
470,Malta,1995,Tourism expenditure (millions of US dollars),,,656,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
470,Malta,2005,Tourism expenditure (millions of US dollars),,,755,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
470,Malta,2010,Tourism expenditure (millions of US dollars),,,1066,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
470,Malta,2017,Tourism expenditure (millions of US dollars),,,1747,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
470,Malta,2018,Tourism expenditure (millions of US dollars),,,1849,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
470,Malta,2019,Tourism expenditure (millions of US dollars),,,1897,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
584,Marshall Islands,1995,Tourist/visitor arrivals (thousands),TF,,6,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
584,Marshall Islands,2005,Tourist/visitor arrivals (thousands),TF,,9,Air and sea arrivals.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
584,Marshall Islands,2010,Tourist/visitor arrivals (thousands),TF,,5,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
584,Marshall Islands,2017,Tourist/visitor arrivals (thousands),TF,,6,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
584,Marshall Islands,2018,Tourist/visitor arrivals (thousands),TF,,7,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
584,Marshall Islands,1995,Tourism expenditure (millions of US dollars),,,3,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
584,Marshall Islands,2005,Tourism expenditure (millions of US dollars),,,4,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
584,Marshall Islands,2010,Tourism expenditure (millions of US dollars),,,4,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
584,Marshall Islands,2017,Tourism expenditure (millions of US dollars),,,18,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
584,Marshall Islands,2018,Tourism expenditure (millions of US dollars),,,20,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
474,Martinique,1995,Tourist/visitor arrivals (thousands),TF,,457,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
474,Martinique,2005,Tourist/visitor arrivals (thousands),TF,,484,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
474,Martinique,2010,Tourist/visitor arrivals (thousands),TF,,478,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
474,Martinique,2017,Tourist/visitor arrivals (thousands),TF,,536,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
474,Martinique,2018,Tourist/visitor arrivals (thousands),TF,,537,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
474,Martinique,2019,Tourist/visitor arrivals (thousands),TF,,556,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
474,Martinique,1995,Tourism expenditure (millions of US dollars),,,384,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
474,Martinique,2005,Tourism expenditure (millions of US dollars),,,280,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
474,Martinique,2010,Tourism expenditure (millions of US dollars),,,472,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
474,Martinique,2017,Tourism expenditure (millions of US dollars),,,480,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
474,Martinique,2018,Tourism expenditure (millions of US dollars),,,533,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
474,Martinique,2019,Tourism expenditure (millions of US dollars),,,549,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
478,Mauritania,2017,Tourism expenditure (millions of US dollars),,,24,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
478,Mauritania,2018,Tourism expenditure (millions of US dollars),,,6,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
480,Mauritius,1995,Tourist/visitor arrivals (thousands),TF,,422,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
480,Mauritius,2005,Tourist/visitor arrivals (thousands),TF,,761,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
480,Mauritius,2010,Tourist/visitor arrivals (thousands),TF,,935,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
480,Mauritius,2017,Tourist/visitor arrivals (thousands),TF,,1342,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
480,Mauritius,2018,Tourist/visitor arrivals (thousands),TF,,1399,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
480,Mauritius,2019,Tourist/visitor arrivals (thousands),TF,,1383,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
480,Mauritius,1995,Tourism expenditure (millions of US dollars),,,616,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
480,Mauritius,2005,Tourism expenditure (millions of US dollars),,,1189,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
480,Mauritius,2010,Tourism expenditure (millions of US dollars),,,1585,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
480,Mauritius,2017,Tourism expenditure (millions of US dollars),,,2005,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
480,Mauritius,2018,Tourism expenditure (millions of US dollars),,,2161,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
484,Mexico,1995,Tourist/visitor arrivals (thousands),TF,,20241,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
484,Mexico,2005,Tourist/visitor arrivals (thousands),TF,,21915,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
484,Mexico,2010,Tourist/visitor arrivals (thousands),TF,,23290,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
484,Mexico,2017,Tourist/visitor arrivals (thousands),TF,,39291,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
484,Mexico,2018,Tourist/visitor arrivals (thousands),TF,,41313,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
484,Mexico,1995,Tourism expenditure (millions of US dollars),,,6847,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
484,Mexico,2005,Tourism expenditure (millions of US dollars),,,12801,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
484,Mexico,2010,Tourism expenditure (millions of US dollars),,,12628,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
484,Mexico,2017,Tourism expenditure (millions of US dollars),,,22467,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
484,Mexico,2018,Tourism expenditure (millions of US dollars),,,23802,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
484,Mexico,2019,Tourism expenditure (millions of US dollars),,,25834,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
583,Micronesia (Fed. States of),2005,Tourist/visitor arrivals (thousands),TF,,19,"Arrivals in the States of Kosrae, Chuuk, Pohnpei and Yap; excluding FSM citizens.","World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
583,Micronesia (Fed. States of),2010,Tourist/visitor arrivals (thousands),TF,,45,"Arrivals in the States of Kosrae, Chuuk, Pohnpei and Yap; excluding FSM citizens.","World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
583,Micronesia (Fed. States of),2018,Tourist/visitor arrivals (thousands),TF,,19,"Arrivals in the States of Kosrae, Chuuk, Pohnpei and Yap; excluding FSM citizens.","World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
583,Micronesia (Fed. States of),2010,Tourism expenditure (millions of US dollars),,,24,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
492,Monaco,1995,Tourist/visitor arrivals (thousands),THS,,233,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
492,Monaco,2005,Tourist/visitor arrivals (thousands),THS,,286,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
492,Monaco,2010,Tourist/visitor arrivals (thousands),THS,,279,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
492,Monaco,2017,Tourist/visitor arrivals (thousands),THS,,355,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
492,Monaco,2018,Tourist/visitor arrivals (thousands),THS,,347,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
492,Monaco,2019,Tourist/visitor arrivals (thousands),THS,,363,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
496,Mongolia,2005,Tourist/visitor arrivals (thousands),TF,,339,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
496,Mongolia,2010,Tourist/visitor arrivals (thousands),TF,,456,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
496,Mongolia,2017,Tourist/visitor arrivals (thousands),TF,,469,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
496,Mongolia,2018,Tourist/visitor arrivals (thousands),TF,,529,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
496,Mongolia,2019,Tourist/visitor arrivals (thousands),TF,,577,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
496,Mongolia,1995,Tourism expenditure (millions of US dollars),,,33,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
496,Mongolia,2005,Tourism expenditure (millions of US dollars),,,203,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
496,Mongolia,2010,Tourism expenditure (millions of US dollars),,,288,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
496,Mongolia,2017,Tourism expenditure (millions of US dollars),,,462,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
496,Mongolia,2018,Tourism expenditure (millions of US dollars),,,526,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
496,Mongolia,2019,Tourism expenditure (millions of US dollars),,,605,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
499,Montenegro,2005,Tourist/visitor arrivals (thousands),TCE,,272,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
499,Montenegro,2010,Tourist/visitor arrivals (thousands),TCE,,1088,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
499,Montenegro,2017,Tourist/visitor arrivals (thousands),TCE,,1877,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
499,Montenegro,2018,Tourist/visitor arrivals (thousands),TCE,,2077,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
499,Montenegro,2010,Tourism expenditure (millions of US dollars),,,765,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
499,Montenegro,2017,Tourism expenditure (millions of US dollars),,,1110,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
499,Montenegro,2018,Tourism expenditure (millions of US dollars),,,1224,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
499,Montenegro,2019,Tourism expenditure (millions of US dollars),,,1276,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
500,Montserrat,1995,Tourist/visitor arrivals (thousands),TF,,18,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
500,Montserrat,2005,Tourist/visitor arrivals (thousands),TF,,10,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
500,Montserrat,2010,Tourist/visitor arrivals (thousands),TF,,6,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
500,Montserrat,2017,Tourist/visitor arrivals (thousands),TF,,9,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
500,Montserrat,2018,Tourist/visitor arrivals (thousands),TF,,9,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
500,Montserrat,1995,Tourism expenditure (millions of US dollars),,,17,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
500,Montserrat,2005,Tourism expenditure (millions of US dollars),,,9,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
500,Montserrat,2010,Tourism expenditure (millions of US dollars),,,6,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
500,Montserrat,2017,Tourism expenditure (millions of US dollars),,,8,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
500,Montserrat,2018,Tourism expenditure (millions of US dollars),,,11,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
504,Morocco,1995,Tourist/visitor arrivals (thousands),TF,,2602,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
504,Morocco,2005,Tourist/visitor arrivals (thousands),TF,,5843,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
504,Morocco,2010,Tourist/visitor arrivals (thousands),TF,,9288,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
504,Morocco,2017,Tourist/visitor arrivals (thousands),TF,,11349,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
504,Morocco,2018,Tourist/visitor arrivals (thousands),TF,,12289,Including nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
504,Morocco,1995,Tourism expenditure (millions of US dollars),,,1469,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
504,Morocco,2005,Tourism expenditure (millions of US dollars),,,5426,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
504,Morocco,2010,Tourism expenditure (millions of US dollars),,,8176,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
504,Morocco,2017,Tourism expenditure (millions of US dollars),,,9086,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
504,Morocco,2018,Tourism expenditure (millions of US dollars),,,9520,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
504,Morocco,2019,Tourism expenditure (millions of US dollars),,,10013,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
508,Mozambique,2005,Tourist/visitor arrivals (thousands),TF,,578,The data correspond only to 12 border posts.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
508,Mozambique,2010,Tourist/visitor arrivals (thousands),TF,,1718,Break in the time series.,The data of all the border posts of the country are used.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",
508,Mozambique,2017,Tourist/visitor arrivals (thousands),TF,,1447,The data of all the border posts of the country are used.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
508,Mozambique,2018,Tourist/visitor arrivals (thousands),TF,,2743,The data of all the border posts of the country are used.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
508,Mozambique,2019,Tourist/visitor arrivals (thousands),TF,,2019,The data of all the border posts of the country are used.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
508,Mozambique,2005,Tourism expenditure (millions of US dollars),,,138,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
508,Mozambique,2010,Tourism expenditure (millions of US dollars),,,135,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
