Region/Country/Area,,Year,Series,Tourism arrivals series type,Tourism arrivals series type footnote,Value,Footnotes,Source,,
533,Aruba,2010,Tourist/visitor arrivals (thousands),TF,,824,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
533,Aruba,2017,Tourist/visitor arrivals (thousands),TF,,1071,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
533,Aruba,2018,Tourist/visitor arrivals (thousands),TF,,1082,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
533,Aruba,2019,Tourist/visitor arrivals (thousands),TF,,1119,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
533,Aruba,1995,Tourism expenditure (millions of US dollars),,,554,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
533,Aruba,2005,Tourism expenditure (millions of US dollars),,,1097,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
533,Aruba,2010,Tourism expenditure (millions of US dollars),,,1254,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
533,Aruba,2017,Tourism expenditure (millions of US dollars),,,1855,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
533,Aruba,2018,Tourism expenditure (millions of US dollars),,,2029,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
533,Aruba,2019,Tourism expenditure (millions of US dollars),,,2091,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
36,Australia,1995,Tourist/visitor arrivals (thousands),VF,,3726,Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
36,Australia,2005,Tourist/visitor arrivals (thousands),VF,,5499,Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
36,Australia,2010,Tourist/visitor arrivals (thousands),VF,,5790,Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
36,Australia,2017,Tourist/visitor arrivals (thousands),VF,,8815,Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
36,Australia,2018,Tourist/visitor arrivals (thousands),VF,,9246,Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
36,Australia,1995,Tourism expenditure (millions of US dollars),,,10370,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
36,Australia,2005,Tourism expenditure (millions of US dollars),,,19719,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
36,Australia,2010,Tourism expenditure (millions of US dollars),,,31064,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
36,Australia,2017,Tourism expenditure (millions of US dollars),,,43975,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
36,Australia,2018,Tourism expenditure (millions of US dollars),,,47327,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
36,Australia,2019,Tourism expenditure (millions of US dollars),,,47953,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
40,Austria,1995,Tourist/visitor arrivals (thousands),TCE,,17173,Only paid accommodation, excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",
40,Austria,2005,Tourist/visitor arrivals (thousands),TCE,,19952,Only paid accommodation, excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",
40,Austria,2010,Tourist/visitor arrivals (thousands),TCE,,22004,Only paid accommodation, excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",
40,Austria,2017,Tourist/visitor arrivals (thousands),TCE,,29460,Only paid accommodation, excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",
40,Austria,2018,Tourist/visitor arrivals (thousands),TCE,,30816,Only paid accommodation, excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",
40,Austria,2019,Tourist/visitor arrivals (thousands),TCE,,31884,Only paid accommodation, excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",
40,Austria,1995,Tourism expenditure (millions of US dollars),,,13435,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
40,Austria,2005,Tourism expenditure (millions of US dollars),,,16243,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
40,Austria,2010,Tourism expenditure (millions of US dollars),,,18751,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
40,Austria,2017,Tourism expenditure (millions of US dollars),,,20333,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
40,Austria,2018,Tourism expenditure (millions of US dollars),,,23233,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
40,Austria,2019,Tourism expenditure (millions of US dollars),,,22983,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
31,Azerbaijan,2005,Tourist/visitor arrivals (thousands),TF,,693,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
31,Azerbaijan,2010,Tourist/visitor arrivals (thousands),TF,,1280,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
31,Azerbaijan,2017,Tourist/visitor arrivals (thousands),TF,,2454,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
31,Azerbaijan,2018,Tourist/visitor arrivals (thousands),TF,,2633,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
31,Azerbaijan,1995,Tourism expenditure (millions of US dollars),,,87,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
31,Azerbaijan,2005,Tourism expenditure (millions of US dollars),,,100,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
31,Azerbaijan,2010,Tourism expenditure (millions of US dollars),,,792,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
31,Azerbaijan,2017,Tourism expenditure (millions of US dollars),,,3214,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
31,Azerbaijan,2018,Tourism expenditure (millions of US dollars),,,2830,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
31,Azerbaijan,2019,Tourism expenditure (millions of US dollars),,,2004,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
44,Bahamas,1995,Tourist/visitor arrivals (thousands),TF,,1598,Arrivals at hotels only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
44,Bahamas,2005,Tourist/visitor arrivals (thousands),TF,,1608,Arrivals at hotels only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
44,Bahamas,2010,Tourist/visitor arrivals (thousands),TF,,1370,Arrivals at hotels only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
44,Bahamas,2017,Tourist/visitor arrivals (thousands),TF,,1452,Arrivals at hotels only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
44,Bahamas,2018,Tourist/visitor arrivals (thousands),TF,,1624,Arrivals at hotels only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
44,Bahamas,2019,Tourist/visitor arrivals (thousands),TF,,1802,Arrivals at hotels only.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
44,Bahamas,1995,Tourism expenditure (millions of US dollars),,,1356,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
44,Bahamas,2005,Tourism expenditure (millions of US dollars),,,2081,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
44,Bahamas,2010,Tourism expenditure (millions of US dollars),,,2159,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
44,Bahamas,2017,Tourism expenditure (millions of US dollars),,,3017,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
44,Bahamas,2018,Tourism expenditure (millions of US dollars),,,3383,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
44,Bahamas,2019,Tourism expenditure (millions of US dollars),,,3606,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
48,Bahrain,1995,Tourist/visitor arrivals (thousands),VF,,2311,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
48,Bahrain,2005,Tourist/visitor arrivals (thousands),VF,,6313,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
48,Bahrain,2010,Tourist/visitor arrivals (thousands),VF,,11952,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2021.",,
