Region/Country/Area,,Year,Series,Value,Footnotes,Source
659,Saint Kitts and Nevis,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2021."
659,Saint Kitts and Nevis,2010,Land area (thousand hectares),26,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
659,Saint Kitts and Nevis,2010,Arable land (thousand hectares),5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
659,Saint Kitts and Nevis,2010,Permanent crops (thousand hectares),0,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
659,Saint Kitts and Nevis,2010,Forest cover (thousand hectares),11,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
659,Saint Kitts and Nevis,2010,Arable land (% of total land area),17.3,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
659,Saint Kitts and Nevis,2010,Permanent crops (% of total land area),0.4,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
659,Saint Kitts and Nevis,2010,Forest cover (% of total land area),42.3,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
659,Saint Kitts and Nevis,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),22.35,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2021."
659,Saint Kitts and Nevis,2018,Land area (thousand hectares),26,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
659,Saint Kitts and Nevis,2018,Arable land (thousand hectares),5,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
659,Saint Kitts and Nevis,2018,Permanent crops (thousand hectares),0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2021."
