Region/Country/Area,,Year,Series,National currency,National currency footnote,Value,Footnotes,Source
8,Albania,2019,Exchange rates: end of period (national currency per US dollar),Lek (ALL),,108.6,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
8,Albania,2020,Exchange rates: end of period (national currency per US dollar),Lek (ALL),,100.8,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
8,Albania,1995,Exchange rates: period average (national currency per US dollar),,,92.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
8,Albania,2005,Exchange rates: period average (national currency per US dollar),,,99.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
8,Albania,2010,Exchange rates: period average (national currency per US dollar),,,103.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
8,Albania,2015,Exchange rates: period average (national currency per US dollar),,,126,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
8,Albania,2017,Exchange rates: period average (national currency per US dollar),,,119.1,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
8,Albania,2018,Exchange rates: period average (national currency per US dollar),,,108,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
8,Albania,2019,Exchange rates: period average (national currency per US dollar),,,109.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
8,Albania,2020,Exchange rates: period average (national currency per US dollar),,,108.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
12,Algeria,1995,Exchange rates: end of period (national currency per US dollar),Algerian Dinar (DZD),,52.2,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
12,Algeria,2005,Exchange rates: end of period (national currency per US dollar),Algerian Dinar (DZD),,73.4,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
12,Algeria,2010,Exchange rates: end of period (national currency per US dollar),Algerian Dinar (DZD),,74.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
12,Algeria,2015,Exchange rates: end of period (national currency per US dollar),Algerian Dinar (DZD),,107.1,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
12,Algeria,2017,Exchange rates: end of period (national currency per US dollar),Algerian Dinar (DZD),,114.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
12,Algeria,2018,Exchange rates: end of period (national currency per US dollar),Algerian Dinar (DZD),,118.3,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
12,Algeria,2019,Exchange rates: end of period (national currency per US dollar),Algerian Dinar (DZD),,119.2,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
12,Algeria,2020,Exchange rates: end of period (national currency per US dollar),Algerian Dinar (DZD),,132.1,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
12,Algeria,1995,Exchange rates: period average (national currency per US dollar),,,47.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
12,Algeria,2005,Exchange rates: period average (national currency per US dollar),,,73.3,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
12,Algeria,2010,Exchange rates: period average (national currency per US dollar),,,74.4,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
